commenter_slug,author_slug,comment_count
sineadmodonovan,mennosiebinga,29
lingabson,renemadden,29
barryflanagan,mitapatel1,29
melisabuie,mitapatel1,29
leonardrodman,shawnfreeman-,29
eva-gysling-oly-33929524,shawnfreeman-,29
mitapatel1,rupalyadav999,28
jorgecalzada,geezulkifli,28
michellemaldonado,nandiitaa,28
barryflanagan,nandiitaa,28
raahul-seshadri,nandiitaa,28
maryam-jan-akbari,diannewblack,28
melisabuie,sara-a-riedel,28
executivecoachhr,maryam-jan-akbari,28
tiffanymasson,sara-a-riedel,28
mitapatel1,lingabson,28
maryam-jan-akbari,lingabson,28
raahul-seshadri,lingabson,28
patrickcattin,dartarieks,28
mitapatel1,alliestories8,28
thomasallanjones,dartarieks,28
lingabson,alliestories8,28
sara-a-riedel,michellemaldonado,28
barryflanagan,sineadmodonovan,28
hasansajid,thomasallanjones,28
mitapatel1,victortrieu,28
executivecoachhr,victortrieu,28
captshawnsequeira,victortrieu,28
embracefulfillment,victortrieu,28
minudatta,victortrieu,28
amanai-man,barryflanagan,28
tiffanymasson,barryflanagan,28
melisabuie,barryflanagan,28
thomasallanjones,barryflanagan,28
steveabramson,melisabuie,28
chris-godfredsen-2459012b2,melisabuie,28
michellemaldonado,ionaholloway,28
mitapatel1,karen-stone-performancehabits,28
renemadden,karen-stone-performancehabits,28
mitapatel1,raahul-seshadri,28
sanjivberi,marcellabremer,28
renemadden,marcellabremer,28
lingabson,marcellabremer,28
melisabuie,ashleymunday0,28
michaelleber,ashleymunday0,28
diannewblack,mariasabio,28
robert-adams-leader,ebonybeckwith,28
tiffanymasson,chrismurphyhq,28
executivecoachhr,kristaps-kazaks,28
mitapatel1,mahaalaoui,28
barryflanagan,renemadden,28
jorgecalzada,renemadden,28
melisabuie,renemadden,28
michellemaldonado,renemadden,28
karirusso,renemadden,28
michellemaldonado,mohammed-kasujee,28
raahul-seshadri,tiffanymasson,28
chrismurphyhq,tiffanymasson,28
thomasallanjones,tiffanymasson,28
realnickbradley,dradeelkhan-md,28
captshawnsequeira,sliwowskik,28
raahul-seshadri,rupalyadav999,27
karirusso,rupalyadav999,27
mitapatel1,nandiitaa,27
posts,jorgecalzada,27
karen-stone-performancehabits,sara-a-riedel,27
thomasallanjones,lingabson,27
dianbasit,brandallwillis,27
muhammad-ehsan-b4a1201a3,brandallwillis,27
mitapatel1,dartarieks,27
diannewblack,dartarieks,27
steveabramson,dartarieks,27
mohammed-kasujee,mariaee,27
dianekucala,alliestories8,27
chrismarkens,dartarieks,27
karirusso,michaela-daly-fcca,27
nandiitaa,michellemaldonado,27
renemadden,michellemaldonado,27
sanjivberi,sineadmodonovan,27
dianekucala,sineadmodonovan,27
jeremiah-teo-charisma-business-coach,michaela-daly-fcca,27
tiffanymasson,victortrieu,27
raahul-seshadri,hasansajid,27
raahul-seshadri,barryflanagan,27
thomasallanjones,hasansajid,27
sineadmodonovan,ionaholloway,27
karen-stone-performancehabits,ashleymunday0,27
minudatta,ashleymunday0,27
sara-a-riedel,ashleymunday0,27
diannewblack,ebonybeckwith,27
sineadmodonovan,kristaps-kazaks,27
maryam-jan-akbari,renemadden,27
sara-a-riedel,renemadden,27
posts,renemadden,27
karen-stone-performancehabits,mohammed-kasujee,27
ionaholloway,mohammed-kasujee,27
sineadmodonovan,mohammed-kasujee,27
marc-henn,shawnfreeman-,27
maryam-jan-akbari,sliwowskik,27
jorgecalzada,anisacela,27
jessicaesamuels,rupalyadav999,26
tiffanymasson,rupalyadav999,26
maryam-jan-akbari,geezulkifli,26
renemadden,geezulkifli,26
diannewblack,nandiitaa,26
mariasabio,nandiitaa,26
diannewblack,jorgecalzada,26
barryflanagan,diannewblack,26
maryam-jan-akbari,sara-a-riedel,26
priscila-pree-silva,maryam-jan-akbari,26
steveabramson,sara-a-riedel,26
mariaee,lingabson,26
karen-stone-performancehabits,lingabson,26
sineadmodonovan,lingabson,26
nandiitaa,lingabson,26
lingabson,dartarieks,26
hannahrobertscoaching,mariaee,26
karen-stone-performancehabits,mariaee,26
melisabuie,mariaee,26
nandiitaa,alliestories8,26
maryam-jan-akbari,alliestories8,26
shivaniberry,alliestories8,26
sara-a-riedel,dartarieks,26
anthonyalbit,brandallwillis,26
karen-stone-performancehabits,michellemaldonado,26
jessicaesamuels,victortrieu,26
renemadden,victortrieu,26
chrismurphyhq,victortrieu,26
