profile_a,profile_b,a_to_b_count,b_to_a_count,total,a_role,b_role
jorgecalzada,rupalyadav999,31,12,43,member,member
hasansajid,tiffanymasson,30,13,43,member,member
nandiitaa,raahul-seshadri,15,28,43,member,member
hasansajid,raahul-seshadri,16,27,43,member,member
rupalyadav999,tiffanymasson,17,26,43,member,member
sanjivberi,sliwowskik,26,17,43,member,member
ashleymunday0,mitapatel1,18,25,43,member,member
alliestories8,mariaee,19,24,43,member,member
marcellabremer,sineadmodonovan,19,24,43,member,member
mariasabio,michellemaldonado,23,20,43,member,member
geezulkifli,patrickcattin,21,22,43,member,member
ashleymunday0,dartarieks,22,21,43,member,member
mitapatel1,rupalyadav999,28,14,42,member,member
sara-a-riedel,tiffanymasson,14,28,42,member,member
dartarieks,mitapatel1,15,27,42,member,member
alliestories8,yauhanmehta,18,24,42,member,member
dartarieks,ionaholloway,19,23,42,member,member
alliestories8,dartarieks,22,20,42,member,member
geezulkifli,ionaholloway,22,20,42,member,member
lingabson,mohammed-kasujee,21,21,42,member,member
chrismurphyhq,thomasallanjones,21,21,42,member,member
dartarieks,sara-a-riedel,15,26,41,member,member
alliestories8,sineadmodonovan,18,23,41,member,member
melisabuie,michellemaldonado,22,19,41,member,member
chrismurphyhq,diannewblack,21,20,41,member,member
barryflanagan,sanjivberi,21,20,41,member,member
jorgecalzada,mennosiebinga,30,10,40,member,member
dartarieks,thomasallanjones,12,28,40,member,member
dartarieks,diannewblack,13,27,40,member,member
mariaee,melisabuie,14,26,40,member,member
kristaps-kazaks,mariaee,15,25,40,member,member
raahul-seshadri,thomasallanjones,24,16,40,member,member
mariasabio,melisabuie,24,16,40,member,member
barryflanagan,dartarieks,31,8,39,member,member
mariaee,mariasabio,10,29,39,member,member
thomasallanjones,tiffanymasson,28,11,39,member,member
mariaee,mohammed-kasujee,12,27,39,member,member
alliestories8,patrickcattin,15,24,39,member,member
alliestories8,michellemaldonado,15,24,39,member,member
chrismurphyhq,mahaalaoui,24,15,39,member,member
ashleymunday0,mariaee,21,18,39,member,member
jorgecalzada,nandiitaa,19,20,39,member,member
hasansajid,lingabson,20,19,39,member,member
mohammed-kasujee,rupalyadav999,19,20,39,member,member
barryflanagan,geezulkifli,29,9,38,member,member
geezulkifli,jorgecalzada,10,28,38,member,member
bridgett-strickler,maryam-jan-akbari,13,25,38,member,member
sara-a-riedel,thomasallanjones,21,17,38,member,member
karen-stone-performancehabits,melisabuie,21,17,38,member,member
hasansajid,mohammed-kasujee,18,20,38,member,member
karen-stone-performancehabits,patrickcattin,18,20,38,member,member
melisabuie,mohammed-kasujee,20,18,38,member,member
kristaps-kazaks,mariasabio,7,30,37,member,member
mariaee,mitapatel1,8,29,37,member,member
karen-stone-performancehabits,renemadden,9,28,37,member,member
marcellabremer,sanjivberi,9,28,37,member,member
ebonybeckwith,marcellabremer,26,11,37,member,member
chrismurphyhq,renemadden,26,11,37,member,member
marcellabremer,patrickcattin,13,24,37,member,member
mahaalaoui,sanjivberi,14,23,37,member,member
ebonybeckwith,ionaholloway,20,17,37,member,member
geezulkifli,mohammed-kasujee,19,18,37,member,member
